Dept	Year	Num
Government	2010	17
Government	2014	46
Government	2015	48
Government	2019	41
Government	2020	37
Government	2024	56
Sociology	2010	9
Sociology	2014	21
Sociology	2015	18
Sociology	2019	16
Sociology	2020	20
Sociology	2021	21
Sociology	2024	24
Economics	2010	8
Economics	2014	11
Economics	2015	15
Economics	2019	32
Economics	2020	45
Economics	2024	190
Psychology	2010	1
Psychology	2014	2
Psychology	2015	3
Psychology	2019	3
Psychology	2020	4
Psychology	2024	107
