"Group.1","x","timeWorked","cumTimeWorked","cumTickets","ticket_id"
"134636",2012-04-06,3,929.883333333333,119,"134636"
"134943",2012-04-06,0.133333333333333,930.016666666667,120,"134943"
"135236",2012-04-06,18.3333333333333,948.35,121,"135236"
"135350",2012-04-09,5,953.35,122,"135350"
"134779",2012-04-10,12,965.35,123,"134779"
"135422",2012-04-10,5,970.35,124,"135422"
"133641",2012-04-11,5,975.35,125,"133641"
"134747",2012-04-11,17,992.35,126,"134747"
"135017",2012-04-11,3.5,995.85,127,"135017"
"135252",2012-04-11,0.25,996.1,128,"135252"
"135596",2012-04-11,3,999.1,129,"135596"
"135603",2012-04-11,2.75,1001.85,130,"135603"
"135606",2012-04-11,1.5,1003.35,131,"135606"
"135673",2012-04-12,2,1005.35,132,"135673"
"133818",2012-04-16,4,1009.35,133,"133818"
"135721",2012-04-16,9,1018.35,134,"135721"
"135816",2012-04-16,0.5,1018.85,135,"135816"
"135860",2012-04-17,5,1023.85,136,"135860"
"135900",2012-04-18,2,1025.85,137,"135900"
"135915",2012-04-18,0.5,1026.35,138,"135915"
"135934",2012-04-18,3,1029.35,139,"135934"
"135982",2012-04-18,7,1036.35,140,"135982"
"135700",2012-04-20,2,1038.35,141,"135700"
"136062",2012-04-20,4.5,1042.85,142,"136062"
"136126",2012-04-20,1.5,1044.35,143,"136126"
"136142",2012-04-23,1.5,1045.85,144,"136142"
"136139",2012-04-24,3,1048.85,145,"136139"
"136178",2012-04-24,13,1061.85,146,"136178"
"135636",2012-04-25,19,1080.85,147,"135636"
"135795",2012-04-25,2,1082.85,148,"135795"
"136010",2012-04-25,5,1087.85,149,"136010"
"136320",2012-04-25,1,1088.85,150,"136320"
"136344",2012-04-26,3,1091.85,151,"136344"
"136355",2012-04-26,2,1093.85,152,"136355"
"136383",2012-04-28,1,1094.85,153,"136383"
"136499",2012-04-30,0.666666666666667,1095.51666666667,154,"136499"
"136623",2012-05-01,4.33333333333333,1099.85,155,"136623"
"136555",2012-05-02,1,1100.85,156,"136555"
"136580",2012-05-03,0.5,1101.35,157,"136580"
"136771",2012-05-03,32,1133.35,158,"136771"
