financial_year,fyear_quarter,unique_tickets
FY21,FY21_Q1,61
FY21,FY21_Q2,90
FY21,FY21_Q3,87
FY21,FY21_Q4,67
FY22,FY22_Q1,68
FY22,FY22_Q2,66
FY22,FY22_Q3,77
FY22,FY22_Q4,64
FY23,FY23_Q1,65
FY23,FY23_Q2,48
FY23,FY23_Q3,56
FY23,FY23_Q4,64
FY24,FY24_Q1,69
FY24,FY24_Q2,58
FY24,FY24_Q3,81
FY24,FY24_Q4,48
