page	metric	composition	value	unit	icon	color	url	timestamp	source
dss	Total help requests	Overview	190	help requests	fa fa-question-circle			2024	manual
dss	Researchers helped	Overview	162	researchers	fa fa-flask			2024	manual
dss	Departments served 	Overview	23	departments	fa fa-school			2024	manual
dss	Research collaborations 	Overview	7	collaborations	fa fa-users			2024	manual
dss	Types of help request 	Overview	21	categories	fa fa-folder			2024	manual
dss	R packages developed 	Overview	3	R packages	fa fa-box-open			2024	manual
