period,workshops_offered,attendees,order
Jul 2014 - Dec 2014,8,282,1
Jan 2015 - Jun 2015,14,467,2
Jul 2015 - Dec 2015,9,308,3
Jan 2016 - Jun 2016,13,561,4
Jul 2016 - Dec 2016,8,247,5
Jan 2017 - Jun 2017,14,478,6
Jul 2017 - Dec 2017,8,292,7
Jan 2018 - Jun 2018,16,523,8
Jul 2018 - Dec 2018,9,301,9
Jan 2019 - Jun 2019,17,507,10
Jul 2019 - Dec 2019,7,256,11
Jan 2020 - Jun 2020,15,452,12
