department,publications,order,period
Psychology,47,7,2012 - 2020
Government,35,6,2012 - 2020
HEB,32,5,2012 - 2020
HSPH,23,4,2012 - 2020
Sociology,17,3,2012 - 2020
MIT,10,2,2012 - 2020
HBS,8,1,2012 - 2020
