Month,"[iqss_sponsored] Wait Hours: Per Job"
2024-01,1.74847222
2024-02,0.00452778
2024-03,0.01480556
2024-04,0.01922222
2024-05,0.01436508
2024-06,0.13572104
2024-07,0.23262963
2024-08,0.00416667
2024-09,0.00538889
