Month,"[iqss_sponsored] Node Hours: Total"
2024-01,0.0861
2024-02,0.0844
2024-03,0.0892
2024-04,0.0864
2024-05,74.4958
2024-06,491.9478
2024-07,120.1114
2024-08,24.1111
2024-09,0.0875
