Ticket Type	Count	Period
Account update	60	FY2020
Bug	30
Data Deletion request	21
Data request	132
Demo request	18
Download Metrics	8
Feature Support	117
General Dataverse inquiry	332
Harvesting	10
Installation inquiry	37
Journal	37
Large File Upload	15
Repository Maintenance	59
Sensitive Data	14
Software Suggestions	3
