Product	Type	Version	Expire on	Orignial Name by Company	Assigned date
ArcGIS Desktop Advanced (ArcMap) 10.8 Core + Extensions	Reusable	10.1 - 10.8	7/30/2021	Desktop Advanced	6/11/2020
Business Analyst Premium for ArcGIS Desktop	Reusable	10.1 - 10.8	7/30/2021	Business Analyst Premium
ArcGIS Desktop Advanced Core	Reusable	10.1 - 10.7	7/30/2020	ArcGIS Desktop Advanced	6/11/2020
ArcGIS Desktop 3D Analyst	Reusable	10.1 - 10.7	7/30/2020	ArcGIS 3D Analyst	6/12/2020
ArcGIS Desktop Data Interoperability	Reusable	10.1 - 10.7	7/30/2020	Data Interoperability	12/10/2019
ArcGIS Desktop Data Reviewer	Reusable	10.1 - 10.7	7/30/2020	ArcGIS Data Reviewer	12/10/2019
ArcGIS Desktop for Aviation: Airports	Reusable	10.1 - 10.7	7/30/2020	ArcGIS for Aviation: Airports
ArcGIS Desktop for Aviation: Charting	Reusable	10.1 - 10.7	7/30/2020	ArcGIS for Aviation: Charting
ArcGIS Desktop for Maritime: Bathymetry	Reusable	10.1 - 10.7	7/30/2020	ArcGIS for Maritime: Bathymetry
ArcGIS Desktop for Maritime: Charting	Reusable	10.1 - 10.7	7/30/2020	ArcGIS for Maritime: Charting
ArcGIS Desktop Geostatistical Analyst	Reusable	10.1 - 10.7	7/30/2020	Geostatistical Analyst	4/8/2020
ArcGIS Desktop Publisher	Reusable	10.1 - 10.7	7/30/2020	Publisher	6/3/2020
ArcGIS Desktop Schematics	Reusable	10.1 - 10.7	7/30/2020	ArcGIS Schematics	10/24/2019
ArcGIS Desktop Spatial Analyst	Reusable	10.1 - 10.7	7/30/2020	Spatial Analyst	6/4/2020
ArcGIS Desktop Tracking Analyst	Reusable	10.1 - 10.7	7/30/2020	Tracking Analyst	10/24/2019
ArcGIS Desktop Network Analyst	Reusable	10.1 - 10.7	7/30/2020	Network Analyst	5/12/2020
ArcGIS Desktop Workflow Manager	Reusable	10.1 - 10.7	7/30/2020	Workflow Manager	10/24/2019
Esri Business Analyst Standard for ArcGIS Desktop	Reusable	10.1 - 10.7	7/30/2020	Esri Business Analyst Standard for Desktop	3/21/2020
Esri Defense Mapping for ArcGIS Desktop	Reusable	10.1 - 10.7	7/30/2020	Esri Defense Mapping
Esri Production Mapping for ArcGIS Desktop	Reusable	10.1 - 10.7	7/30/2020	Esri Production Mapping	12/3/2018
Esri Roads and Highways for ArcGIS Desktop	Reusable	10.1 - 10.7	7/30/2020	Esri Roads and Highways	4/10/2019
ArcGIS Pro Advanced Core	Reusable	10.1 - 10.7	7/30/2020	ArcGIS Pro Advanced	5/23/2020
ArcGIS Pro 3D Analyst	Reusable	10.1 - 10.7	7/30/2020	ArcGIS Pro 3D Analyst	6/5/2020
ArcGIS Pro Aviation Airports	Reusable	10.1 - 10.7	7/30/2020	Aviation Airports for Pro
ArcGIS Pro Data Interoperability	Reusable	10.1 - 10.7	7/30/2020	ArcGIS Pro Data Interoperability	8/13/2019
ArcGIS Pro Data Reviewer	Reusable	10.1 - 10.7	7/30/2020	ArcGIS Pro Data Reviewer	7/30/2018
ArcGIS Pro Defense Mapping	Reusable	10.1 - 10.7	7/30/2020	Defense Mapping for Pro
ArcGIS Pro Geostatistical Analyst	Reusable	10.1 - 10.7	7/30/2020	ArcGIS Pro Geostatistical Analyst	4/8/2020
ArcGIS Pro Image Analyst	Reusable	10.1 - 10.7	7/30/2020	Image Analyst for ArcGIS Pro Single Use	2/26/2020
ArcGIS Pro Maritime Charting	Reusable	10.1 - 10.6	7/30/2020	Maritime Charting for Pro
ArcGIS Pro Network Analyst	Reusable	10.1 - 10.7	7/30/2020	ArcGIS Pro Network Analyst	4/2/2020
ArcGIS Pro Production Mapping	Reusable	10.1 - 10.7	7/30/2020	Production Mapping for Pro	4/23/2020
