Transaction Created	Transaction Time Worked	Ticket ID	Queue Name	Ticket Requestor	Ticket Owner	Ticket Subject	Ticket Parents IDs	Ticket Children IDs	Request Type	School	Department/Concentration	Status	Sponsored?	Reason for Lab Access:	Lab Discovery	Audio & Video	Power Adapters	Input Devices	Cables & Adapters	Laptops	Misc	Year	month	Year-month
9/22/22 15:27									Lab Access	GSD	Landscape Architecture	Graduate Student: Masters	No	Powerful Computers	Friends							2022	09	2022-9
9/22/22 15:27									Lab Access	GSD	Landscape Architecture	Graduate Student: Masters	No	Powerful Computers	Friends							2022	09	2022-9
9/22/22 15:27									Lab Access	GSD	Landscape Architecture	Graduate Student: Masters	No	Powerful Computers	Friends							2022	09	2022-9
9/22/22 15:27									Lab Access	GSD	Landscape Architecture	Graduate Student: Masters	No	Powerful Computers	Friends							2022	09	2022-9
9/22/22 15:27									Lab Access	GSD	Landscape Architecture	Graduate Student: Masters	No	Powerful Computers	Friends							2022	09	2022-9
9/22/22 15:28									Lab Access	GSD	Landscape Architecture	Graduate Student: Masters	No	Powerful Computers	Friends							2022	09	2022-9
9/22/22 15:28									Lab Access	GSD	Landscape Architecture	Graduate Student: Masters	No	Powerful Computers	Friends							2022	09	2022-9
9/22/22 15:28									Lab Access	GSD	Landscape Architecture	Graduate Student: Masters	No	Powerful Computers	Friends							2022	09	2022-9
9/22/22 15:28									Lab Access	GSD	Landscape Architecture	Graduate Student: Masters	No	Powerful Computers	Friends							2022	09	2022-9
9/22/22 15:28									Lab Access	GSD	Landscape Architecture	Graduate Student: Masters	No	Powerful Computers	Friends							2022	09	2022-9
9/22/22 15:28									Lab Access	GSD	Landscape Architecture	Graduate Student: Masters	No	Powerful Computers	Friends							2022	09	2022-9
9/22/22 15:28									Lab Access	GSD	Landscape Architecture	Graduate Student: Masters	No	Powerful Computers	Friends							2022	09	2022-9
9/22/22 15:28									Lab Access	GSD	Landscape Architecture	Graduate Student: Masters	No	Powerful Computers	Friends							2022	09	2022-9
9/1/22 19:18									Remote Access	DCE	Other	Graduate Student: Masters	No	GIS Programs	Staff Member							2022	09	2022-9
9/1/22 20:28									Remote Access	DCE	Other	Graduate Student: Masters	No	GIS Programs	Staff Member							2022	09	2022-9
9/1/22 20:28									Remote Access	DCE	Other	Graduate Student: Masters	No	GIS Programs	Staff Member							2022	09	2022-9
9/2/22 17:48									Remote Access	DCE	Other	Graduate Student: Masters	No	GIS Programs	Staff Member							2022	09	2022-9
9/2/22 17:48									Remote Access	DCE	Other	Graduate Student: Masters	No	GIS Programs	Staff Member							2022	09	2022-9
9/2/22 17:48									Remote Access	DCE	Other	Graduate Student: Masters	No	GIS Programs	Staff Member							2022	09	2022-9
9/2/22 17:48									Remote Access	DCE	Other	Graduate Student: Masters	No	GIS Programs	Staff Member							2022	09	2022-9
9/2/22 17:48									Remote Access	DCE	Other	Graduate Student: Masters	No	GIS Programs	Staff Member							2022	09	2022-9
9/2/22 17:48									Remote Access	DCE	Other	Graduate Student: Masters	No	GIS Programs	Staff Member							2022	09	2022-9
9/2/22 17:48									Remote Access	DCE	Other	Graduate Student: Masters	No	GIS Programs	Staff Member							2022	09	2022-9
9/22/22 15:35									Remote Access	DCE	Other	Graduate Student: Masters	No	GIS Programs	Staff Member							2022	09	2022-9
9/1/22 20:46									Remote Access	DCE	Other	Other	No	GIS Programs	Staff Member							2022	09	2022-9
9/1/22 21:42									Remote Access	DCE	Other	Other	No	GIS Programs	Staff Member							2022	09	2022-9
9/2/22 17:46									Remote Access	DCE	Other	Other	No	GIS Programs	Staff Member							2022	09	2022-9
9/2/22 17:46									Remote Access	DCE	Other	Other	No	GIS Programs	Staff Member							2022	09	2022-9
