id	School	count	percentage	period
0	FAS	1641	49.7	September 2021 - July 2021
1	GSD	820	24.8	September 2021 - July 2021
2	HKS	353	10.7	September 2021 - July 2021
3	HSPH	128	3.9	September 2021 - July 2021
4	GSE	58	1.8	September 2021 - July 2021
5	SEAS	54	1.6	September 2021 - July 2021
6	HDS	48	1.5	September 2021 - July 2021
7	MIT	46	1.4	September 2021 - July 2021
8	Other	157	4.8	September 2021 - July 2021
